GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aknakereso,sample,Aknakereso,88,0,4,0,15,0,6,0,4,0
aknakereso,sample,AppLauncher,6,0,0,0,3,0,2,0,2,0
aknakereso,sample,Main,30,0,0,0,9,0,3,0,3,0
aknakereso,sample,Controller,171,0,14,0,39,0,14,0,7,0
aknakereso,sample,NullBlower,706,0,76,0,70,0,42,0,4,0
aknakereso,sample,Akna,247,14,52,0,29,4,27,2,1,2
aknakereso,sample,BlowedUp,126,0,6,0,25,0,7,0,4,0
aknakereso,sample,mezo,13,0,0,0,3,0,1,0,1,0
aknakereso,sample,Controller.new EventHandler() {...},179,0,10,0,25,0,7,0,2,0
aknakereso,sample,Controller.new AnimationTimer() {...},67,0,4,0,11,0,4,0,2,0
aknakereso,sample,Player,37,0,0,0,16,0,8,0,8,0
